ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT1G01940	0.036	0.023	0.049	0.006	19.186	5.994	1.4513e-05	CYP18-1
AT1G01950	0.327	0.255	0.399	0.034	2.118	9.587	2.8628e-08	ARK2
AT1G01960	0.214	0.134	0.294	0.038	3.234	5.64	2.9392e-05	BIG3
AT1G01970	0.331	0.26	0.403	0.034	2.093	9.761	2.2051e-08	AT1G01970
AT1G01990	0.147	0.099	0.196	0.023	4.7	6.396	6.6422e-06	AT1G01990
AT1G02020	0.204	0.139	0.269	0.031	3.396	6.64	4.1757e-06	AT1G02020
AT1G02060	1.257	0.918	1.596	0.161	0.552	7.822	4.9557e-07	AT1G02060
AT1G02080	0.159	0.125	0.194	0.016	4.347	9.801	2.0786e-08	AT1G02080
AT1G02090	0.104	0.077	0.131	0.013	6.667	8.016	3.5494e-07	CSN7
AT1G02100	0.067	0.05	0.083	0.008	10.422	8.299	2.2082e-07	AT1G02100
AT1G02110	0.126	0.093	0.16	0.016	5.49	7.951	3.97e-07	AT1G02110
AT1G02120	0.061	0.047	0.075	0.007	11.328	9.275	4.6132e-08	VAD1
AT1G02130	0.06	0.049	0.072	0.005	11.469	11.163	3e-09	RABD2A
AT1G02140	0.041	0.027	0.056	0.007	16.809	6.095	1.1902e-05	MEE63
AT1G02150	0.426	0.343	0.509	0.039	1.626	10.864	4.532e-09	AT1G02150
AT1G02160	0.053	0.038	0.068	0.007	13.064	7.687	6.2554e-07	AT1G02160
AT1G02170	0.074	0.057	0.091	0.008	9.401	9.173	5.4e-08	AMC1
AT1G02180	0.136	0.097	0.176	0.019	5.086	7.302	1.2362e-06	AT1G02180
AT1G02220	0.151	0.118	0.184	0.016	4.588	9.685	2.4697e-08	NAC003
AT1G02260	0.122	0.085	0.159	0.018	5.672	6.98	2.2169e-06	AT1G02260
AT1G02270	0.311	0.236	0.386	0.036	2.229	8.751	1.053e-07	AT1G02270
AT1G02280	0.069	0.054	0.084	0.007	10.087	9.605	2.7873e-08	TOC33
AT1G02300	0.128	0.089	0.168	0.019	5.406	6.814	3.0142e-06	AT1G02300
AT1G02305	0.059	0.037	0.082	0.011	11.663	5.592	3.2418e-05	AT1G02305
AT1G02330	0.388	0.305	0.471	0.039	1.785	9.862	1.9e-08	AT1G02330
AT1G02370	0.327	0.226	0.428	0.048	2.12	6.821	2.9787e-06	AT1G02370
AT1G02410	0.079	0.055	0.102	0.011	8.803	7.017	2.0733e-06	COX11
AT1G02420	0.51	0.329	0.69	0.085	1.36	5.965	1.5358e-05	AT1G02420
AT1G02450	0.172	0.041	0.304	0.062	4.022	2.762	0.01333	NIMIN-1
AT1G02475	0.207	0.132	0.283	0.036	3.343	5.776	2.2367e-05	AT1G02475
AT1G02500	0.052	0.033	0.072	0.009	13.29	5.621	3.0535e-05	SAM1
AT1G02560	0.069	0.049	0.089	0.009	10.086	7.322	1.1922e-06	CLPP5
AT1G02620	0.088	0.055	0.12	0.015	7.888	5.707	2.5693e-05	AT1G02620
AT1G02660	0.324	0.244	0.405	0.038	2.136	8.537	1.4913e-07	AT1G02660
AT1G02670	0.558	0.226	0.889	0.157	1.243	3.546	0.0024819	AT1G02670
AT1G02680	0.124	0.08	0.168	0.021	5.585	5.911	1.7088e-05	TAF13
AT1G02690	0.253	0.2	0.307	0.025	2.737	9.999	1.5514e-08	IMPA6
AT1G02730	0.335	0.266	0.403	0.033	2.071	10.272	1.0437e-08	CSLD5
AT1G02740	0.15	0.104	0.196	0.022	4.614	6.919	2.4824e-06	MRG2
AT1G02750	0.184	0.101	0.268	0.04	3.76	4.648	0.0002304	DI19-2
AT1G02780	0.039	0.025	0.053	0.006	17.811	6.039	1.329e-05	RPL19A
AT1G02816	0.082	0.054	0.11	0.013	8.421	6.208	9.5367e-06	AT1G02816
AT1G02820	0.3	0.226	0.374	0.035	2.309	8.547	1.4674e-07	AT1G02820
AT1G02840	0.046	0.029	0.063	0.008	15.081	5.793	2.1615e-05	SR34
AT1G02850	0.051	0.039	0.063	0.006	13.692	8.893	8.3899e-08	BGLU11
AT1G02860	0.409	0.279	0.539	0.062	1.695	6.617	4.3618e-06	BAH1
AT1G02870	0.085	0.062	0.107	0.011	8.186	7.889	4.4151e-07	AT1G02870
AT1G02890	0.159	0.121	0.198	0.018	4.347	8.643	1.2543e-07	AT1G02890
AT1G02910	0.349	0.255	0.443	0.044	1.987	7.848	4.7325e-07	LPA1
AT1G02940	0.101	0.063	0.139	0.018	6.879	5.624	3.038e-05	GSTF5
AT1G02960	0.08	0.058	0.102	0.01	8.643	7.784	5.2855e-07	AT1G02960
AT1G02970	1.203	0.935	1.47	0.127	0.576	9.474	3.4e-08	WEE1
AT1G02980	0.177	0.124	0.23	0.025	3.915	7.098	1.7865e-06	CUL2
AT1G03000	0.228	0.149	0.307	0.037	3.04	6.127	1.1179e-05	PEX6
AT1G03030	0.054	0.031	0.077	0.011	12.852	4.885	0.00013948	AT1G03030
AT1G03040	0.133	0.08	0.186	0.025	5.203	5.286	6.0559e-05	BHLH7
AT1G03060	0.456	0.314	0.599	0.068	1.519	6.756	3.3619e-06	SPI
AT1G03070	0.072	0.032	0.113	0.019	9.585	3.811	0.001537	AT1G03070
AT1G03080	0.357	0.272	0.443	0.041	1.94	8.815	9.5e-08	NET1D
AT1G03090	0.133	0.103	0.163	0.014	5.217	9.362	4.0338e-08	MCCA
AT1G03100	0.446	0.308	0.584	0.065	1.554	6.82	2.9815e-06	AT1G03100
AT1G03110	0.195	0.15	0.24	0.021	3.559	9.126	5.8158e-08	TRM82
AT1G03130	0.119	0.03	0.207	0.042	5.847	2.83	0.01206	PSAD2
AT1G03150	0.208	0.149	0.268	0.028	3.329	7.393	1.0503e-06	AT1G03150
AT1G03160	0.483	0.345	0.62	0.065	1.436	7.41	1.02e-06	FZL
AT1G03180	0.275	0.215	0.335	0.029	2.52	9.63	2.6828e-08	AT1G03180
AT1G03190	0.523	0.363	0.684	0.076	1.325	6.883	2.6504e-06	UVH6
AT1G03210	0.077	0.056	0.098	0.01	9.038	7.693	6.1969e-07	AT1G03210
AT1G03250	0.2	0.142	0.257	0.027	3.473	7.375	1.0839e-06	AT1G03250
AT1G03260	0.614	0.456	0.771	0.075	1.13	8.214	2.5417e-07	AT1G03260
AT1G03270	0.176	0.118	0.234	0.027	3.94	6.417	6.3756e-06	CBSDUF4
AT1G03280	0.176	0.115	0.237	0.029	3.946	6.081	1.2219e-05	AT1G03280
AT1G03290	0.124	0.098	0.15	0.012	5.612	10.025	1.4931e-08	AT1G03290
AT1G03300	0.193	0.098	0.287	0.045	3.599	4.316	0.00046848	ATDUF1
AT1G03310	0.996	0.871	1.12	0.059	0.696	16.919	4.5168e-12	ISA2
AT1G03330	0.035	0.023	0.047	0.006	19.667	6.276	8.3629e-06	LSM2
AT1G03350	0.402	0.338	0.466	0.03	1.724	13.267	2.1359e-10	AT1G03350
